製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
原作,丘美丈二郎,Original Story,Jojiro Okami
脚本,関沢新一,Screenplay,Shinichi Sekizawa
,,,
撮影,小泉一,Photography,Hajime Koizumi
美術,安倍輝明,Art,Teruaki Abe
照明,石川緑郎,Lighting,Rokuro Ishikawa
録音,三上長七郎,Sound,Choshichiro Mikami
,宮崎正信,,Masanobu Miyazaki
音楽,伊福部昭,Music,Akira Ifukube
,,,
監督助手,梶田興治,Assistant Director,Koji Kajita
編集,平一二,Editor,Kazuji Taira
現像,東洋現像所,Developing,Toyo Laboratory
製作担当者,坂本泰明,Production Manager,Yasuaki Sakamoto
,,,
特殊技術,,Special Effects,
光学撮影,荒木秀三郎,Optical Photography,Shozaburo Araki
撮影,有川貞昌,Photography,Sadamasa Arikawa
美術,渡辺明,Art,Akira Watanabe
照明,岸田九一郎,Lighting,Kuichiro Kishida
作画合成,向山宏,Compositing,Hiroshi Mukoyama
,,,
出演者,,Performers,
,,,
,池部良,,Ryo Ikebe
,,,
,安西郷子,,Kyoko Anzai
,高田稔,,Minoru Takada
,千田是也,,Koreya Senda
,,,
,レン・スタンフォード,,Len Stanford
,ハロルド・コンウェイ,,Harold Conway
,ジョージ・ウイマン,,George Whyman
,エリス・リクター,,Elise Richter
,,,
,伊藤久哉,,Hisaya Ito
,土屋嘉男,,Yoshio Tsuchiya
,桐野洋雄,,Nadao Kirino
,野村浩三,,Kozo Nomura
,村上冬樹,,Fuyuki Murakami
,,,
,沢村いき雄,,Ikio Sawamura
,熊谷二良,,Jiro Kumagai
,手塚勝己,,Katsumi Tezuka
,津田光男,,Mitsuo Tsuda
,岡部正,,Tadashi Okabe
,オスマン・ユセフ,,Osman Yusuf
,マルコン・ピアーズ,,Malcolm Pearce
,レオナルド・ウェルチ,,Leonard Walch
,ハインズ・ボトメル,,Heinz Bodmer
,ドナ・カールソン,,Dona Carlson
,,,
,堤康久,,Yasuhisa Tsutsumi
,旗持貴佐夫,,Takao Kaname
,佐藤功一,,Koichi Sato
,荒木保夫,,Yasuo Araki
,緒方燐作,,Rinsaku Ogata
,山田圭介,,Keisuke Yamada
,上村幸之,,Yoshiyuki Uemura
,岡豊,,Yutaka Oka
,加藤茂雄,,Shigeo Kato
,門脇三郎,,Saburo Kadowaki
,権藤幸彦,,Yukihiko Gondo
,広田新二郎,,Shinjiro Hirota
,,,
特撮監督,円谷英二,Special Effects Director,Eiji Tsuburaya
,,,
監督,本多猪四郎,Director,Ishiro Honda
