製作,田中友幸,Producer,Tomoyuki Tanaka
,角田健一郎,,Kenichiro Tsunoda
,,,
構成,八住利雄,Composition,Toshio Yasumi
脚本,木村武,Screenplay,Takeshi Kimura
,関沢新一,,Shinichi Sekizawa
,,,
撮影,斎藤孝雄,Photography,Takao Saito
美術,北猛夫,Art,Takeo Kita
録音,渡会伸,Sound,Shin Watari
照明,隠田紀一,Lighting,Norikazu Onda
音楽,佐藤勝,Music,Masaru Sato
整音,下永尚,Dubbing,Hisashi Shimonaga
,,,
監督助手,竹林進,Assistant Director,Susume Takebayashi
編集,黒岩義民,Editor,Yoshitami Kuroiwa
舞踏構成,山本紫朗,Dance Choreography,Shiro Yamamoto
衣裳デザイン,真木小太郎,Costume Design,Kotaro Maki
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,根津博,Production Manager,Hiroshi Nezu
,,,
特殊技術,,Special Effects,
撮影,有川貞昌,Photography,Sadamasa Arikawa
,富岡素敬,,Motoyoshi Tomioka
光学撮影,真野田幸雄,Optical Photography,Yukio Manoda
,徳政義行,,Yoshiyuki Tokumasa
美術,渡辺明,Art,Akira Watanabe
照明,岸田九一郎,Lighting,Kuichiro Kishida
合成,向山宏,Synthesis,Hiroshi Mukoyama
監督助手,中野昭慶,Assistant Director,Teruyoshi Nakano
製作担当者,小池忠司,Production Manager,Tadashi Koike
,,,
出演者,,Performers,
,,,
,三船敏郎,,Toshiro Mifune
,,,
,佐藤允,,Makoto Sato
,有島一郎,,Ichiro Arishima
,,,
,草笛光子,,Mitsuko Kusabue
,浜美枝,,Mie Hama
,若林映子,,Akiko Wakabayashi
,水野久美,,Kumi Mizuno
,,,
,中丸忠雄,,Tadao Nakamaru
,田崎潤,,Jun Tazaki
,船戸順,,Jun Funato
,天本英世,,Hideyo Amamoto
,志村喬,,Takashi Shimura
,,,
,砂塚秀夫,,Hideo Sunazuka
,二瓶正也,,Masanari Nihei
,大木正司,,Shoji Oki
,中山豊,,Yutaka Nakayama
,小杉義男,,Yoshio Kosugi
,富田仲次郎,,Nakajiro Tomita
,,,
,中村哲,,Tetsu Nakamura
,桐野洋雄,,Nadao Kirino
,草川直也,,Naoya Kusakawa
,向井淳一郎,,Junichiro Mukai
,堤康久,,Yasuhisa Tsutsumi
,野村浩三,,Kozo Nomura
,長谷川弘,,Hiroshi Hasegawa
,金栄珠,,Eishu Kin
,,,
,鈴木治夫,,Haruo Suzuki
,芝木優子,,Yoshiko Shibaki
,古川緑九,,Midorikyu Furukawa
,島田彰,,Akira Shimada
,田辺和佳子,,Wakako Tanabe
,伊吹新,,Shin Ibuki
,池田生二,,Seiji Ikeda
殺陣,久世竜,Action Director,Ryu Kuze
,,,
特技監督,円谷英二,Special Effects Director,Eiji Tsuburaya 
,,,
監督,谷口千吉,Director,Senkichi Taniguchi
