製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
脚本,高山由紀子,Screenplay,Yukiko Takayama
,,,
撮影,富岡素敬,Photography,Motoyoshi Tomioka
美術,本多好文,Art,Yoshifumi Honda
録音,矢野口文雄,Sound,Fumio Yanoguchi
照明,高島利雄,Lighting,Toshio Takashima
音楽,伊福部昭,Music,Akira Ifukube
整音,東宝録音センター,Dubbing,Toho Sound Center
効果,東宝効果集団,Effects,Toho Effects Group
,,,
監督助手,山下賢章,Assistant Director,Kensho Yamashita
編集,黒岩義民,Editor,Yoshitami Kuroiwa
スチール,田中一清,Stills,Kazukiyo Tanaka
協力製作,所健二,Cooperative Production,Kenji Tokoro
製作担当者,篠田啓助,Production Manager,Keisuke Shinoda
現像,東京現像所,Developing,Tokyo Laboratory
,,,
特殊技術,,Special Effects,
美術,青木利郎,Art,Toshiro Aoki
,小村完,,Kan Komura
合成,三瓶一信,Synthesis,Kazunobu Sanpei
監督助手,田淵吉男,Assistant Director,Yoshio Tabuchi
光学撮影,真野田嘉一,Optical Photography,Kaichi Manoda
光学作画,石井義雄,Optical Illustrations,Yoshio Ishii
操演,松本光司,Physical Effects,Koji Matsumoto
特殊効果,渡辺忠昭,Sound Effects,Tadaaki Watanabe
,,,
出演者,,Performers,
,,,
,佐々木勝彦,,Katsuhiko Sasaki
,藍とも子（新人）,,Tomoko Ai (Newcomer)
,,,
,平田昭彦,,Akihiko Hirata
,中丸忠雄,,Tadao Nakamaru
,睦五郎,,Goro Mutsumi
,,,
,大門正明,,Masaaki Daimon
,内田勝正,,Katsumasa Uchida
,麻里とも恵,,Yasuko Ogawa
,,,
,伊吹徹,,Toru Ibuki
,六本木真,,Masato Roppongi
,富田浩太郎,,Kotaro Tomita
,沢村いき雄,,Ikio Sawamura
,佐原健二,,Kenji Sahara
,,,
　,小川安三,,Yasuzo Ogawa
,守田比呂也,,Hiroya Morita
,鈴木和夫,,Kazuo Suzuki
,山田太郎,,Taro Yamada
,広瀬正一,,Shoichi Hirose
,,,
,鈴木治夫,,Haruo Suzuki
,門脇三郎,,Saburo Kadowaki
,加藤茂雄,,Shigeo Kato
,今井和雄,,Kazuo Imai
,吉田静司,,Seiji Yoshida
,細井利雄,,Toshio Hosoi
,,,
,桐島好夫,,Yoshio Kirishima
,菊地正孝,,Masataka Kikuchi
,石矢博,,Hiroshi Ishi
,東静子,,Shizuko Azuma
ゴジラ,河合徹,Godzilla,Toru Kawai
メカゴジラ,森一成,Mechagodzilla,Kazunari Mori
チタノザウルス,二家本辰巳,Titanosaurus,Tatsumi Nikamoto
,,,
特技監督,中野昭慶,Special Effects Director,Teruyoshi Nakano
,,,
監督,本多猪四郎,Director,Ishiro Honda
