,勝プロダクション第一回作品,,Katsu Productions First Work
,,,
製作,永田雅一,Producer,Masaichi Nagata
,,,
原作,子母沢寛,Original Story,Kan Shimozawa
企画,伊藤武郎,Planning,Takeo Ito
,宮古とく子,,Tokuko Miyako
脚本,中島丈博,Screenplay,Takehiro Nakajima
,松本孝二,,Koji Matsumoto
,猿若清方,,Kiyokata Saruwaka
,,,
撮影,宮川一夫,Photography,Kazuo Miyagawa
音楽,池野成,Music,Sei Ikeno
録音,林土太郎,Sound,Tsuchitaro Hayashi
照明,中岡源権,Lighting,Genji Nakaoka
美術,西岡善信,Art,Yoshinobu Nishioka
,,,
編集,菅沼完二,Editor,Kanji Suganuma
擬斗,楠本栄一,Action,Eiichi Kusumoto
助監督,土井茂,Assistant Director,Shigeru Doi
製作主任,西沢鋭治,Production Manager,Eiji Nishizawa
主題歌,大映レコード,Theme Song,Daiei Records
歌,勝新太郎,Performer,Shintaro Katsu
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Shintaro Katsu
,,,
,三國連太郎,,Rentaro Mikuni
,西村晃,,Ko Nishimura
,浜田ゆう子,,Yuko Hamada
,,,
,石山健二郎,,Kenjiro Ishiyama
,細川俊之,,Toshiyuki Hosokawa
,藤岡琢也,,Takuya Fujioka
,鈴木瑞穂,,Mizuho Suzuki
,遠藤辰雄,,Tatsuo Endo
,三木本賀代,,Kayo Mikimoto
,松下達夫,,Tatsuo Matsushita
,,,
,玉川良一,,Ryoichi Tamagawa
,古川緑九,,Midorikyu Furukawa
,鳳啓助,,Keisuke Otori
,京唄子,,Utako Kyo
,酒井修,,Osamu Sakai
,早川雄三,,Yuzo Hayakawa
,守田学,,Kakuya Morita
,矢野宣,,Ken Yano
,,,
,水原浩一,,Koichi Mizuhara
,伊達三郎,,Saburo Date
,木村玄,,Gen Kimura
,水島眞哉,,Shinya Mizushima
,毛利郁子,,Ikuko Mori
,沖時男,,Tokio Oki
,藤川準,,Jun Fujikawa
,小林加奈枝,,Kanae Kobayashi
,,,
,石原須磨男,,Sumao Ishihara
,北野拓也,,Takuya Kitano
,勝村淳,,Jun Katsumura
,岡島艶子,,Yuko Okajima
,西岡弘善,,Hiroyoshi Nishioka
,薮内武司,,Takeshi Yabuchi
,谷口和子,,Kazuko Taniguchi
,小柳圭子,,Keiko Koyanagi
,,,
,志賀明,,Akira Shiga
,菊野昌代士,,Masanobu Kikuno
,福井隆次,,Ryuji Fukui
,長谷川茂,,Shigeru Hasegawa
,久本延子,,Kumiko Kumoto
,滝のぼる,,Noboru Taki
,三星トミ,,Tomi Mitsuboshi
,堀左知子,,Sachiko Hori
,高寺正,,Masa Takadera
,都賀静子,,Shizuka Toga
,,,
監督,山本薩夫,Director,Satsuo Yamamoto
