製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
脚本,馬淵薫,Screenplay,Kaoru Mabuchi
テクニカル・アドバイザー,アーサー・ランキン,Technical Advisor,Arthur Rankin
,,,
撮影,小泉一,Photography,Hajime Koizumi
美術,北猛夫,Art,Takeo Kita
録音,吉沢昭一,Sound,Shoichi Yoshizawa
照明,高島利雄,Lighting,Toshio Takashima
音楽,伊福部昭,Music,Akira Ifukube
整音,下永尚,Dubbing,Hisashi Shimonaga
,,,
監督助手,佐野健,Assistant Director,Takeshi Sano
編集,藤井良平,Editor,Ryohei Fujii
音響効果,西本定正,Sound Effects,Sadamasa Nishimoto
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,坂本泰明,Production Manager,Yasuaki Sakamoto
,,,
特殊技術,,Special Effects,
撮影,富岡素敬,Photography,Motoyoshi Tomioka
,真野田陽一,,Yoichi Manoda
光学撮影,徳政義行,Optical Photography,Yoshiyuki Tokumasa
美術,井上泰幸,Art,Yasuyuki Inoue
照明,岸田九一郎,Lighting,Kuichiro Kishida
合成,向山宏,Synthesis,Hiroshi Mukoyama
操演,中代文雄,Physical Effects,Fumio Nakashiro
監督助手,中野昭慶,Assistant Director,Teruyoshi Nakano
,,,
出演者,,Performers,
,,,
,宝田明,,Akira Takarada
,浜美枝,,Mie Hama
,,,
,ローズ・リーズン,,Rhodes Reason
,リンダ・ミラー,,Linda Miller
,,,
,天本英世,,Hideyo Amamoto
,田島義文,,Yoshibumi Tajima
,堺左千夫,,Sachio Sakai
,北竜二,,Ryuji Kita
,沢村いき雄,,Ikio Sawamura
,,,
,桐野洋雄,,Nadao Kirino
,広瀬正一,,Shoichi Hirose
,鈴木和夫,,Kazuo Suzuki
,伊吹徹,,Toru Ibuki
,草川直也,,Naoya Kusakawa
,黒部進,,Susumu Kurobe
,,,
,中島春雄,,Haruo Nakajima
,関田裕,,Hiroshi Sekita
ローズ・リーズンの声,田口計,Voice of Rhodes Reason,Kei Taguchi
リンダ・ミラーの声,山東昭子,Voice of Linda Miller,Akiko Santo
殺陣,久世竜,Action Director,Ryu Kuze
,,,
特技監督,円谷英二,Special Effects Director,Eiji Tsuburaya 
,,,
監督,本多猪四郎,Director,Ishiro Honda
