製作,永田秀雅,Producer,Hidemasa Nagata
,,,
企画,藤田昌一,Planning,Shoichi Fujita
,仲野和正,,Kazumasa Nakao
脚本,高橋二三,Screenplay,Nisan Takahashi
,,,
撮影,喜多崎晃,Photography,Akira Kitazaki
特撮,藤井和文,Special Effects,Kazufumi Fujii
録音,飛田喜美雄,Sound,Kimio Tobita
照明,上原正一,Lighting,Shoichi Uehara
美術,矢野友久,Art,Tomohisa Yano
,,,
音楽,広瀬健次郎,Music,Kenjiro Hirose
主題歌,「ガメラマーチ」,Theme Song,“Gamera March”
,「ぼくらのガメラ」,,"“Our Gamera"""
歌,大映児童合唱団,Performer,Daiei Children's Choir
作詞,永田秀雄,Lyrics,Hidemasa Nagata
作編曲,広瀬健次郎,Arrangement,Kenjiro Hirose
,大映レコード,,Daiei Records
,,,
編集,関口章治,Editor,Shoji Sekiguchi
特撮合成,金子友三,Special Synthesis,Yuzo Kaneko
照明,石坂守,Lighting,Mamoru Ishizaka
操演,関谷治雄,Physical Effects,Haruo Sekiya
音響効果,小倉信義,Sound Effects,Nobuyoshi Ogura
,,,
助監督,今子正義,Assistant Director,Masayoshi Imako
製作主任,川村清,Production Manager,Kiyoshi Kawamura
協力,ボーイスカウト日本連盟,Cooperation,Boy Scout Association of Japan
現像,東京現像所,Developing,Tokyo Laboratory
,,,
出演者,,Performers,
,,,
,本郷功次郎,,Kojiro Hongo
,八重垣路子（新人）,,Michiko Yaegaki (Newcomer)
,渥美マリ（新人）,,Mari Atsumi (Newcomer)
,八代順子（新人）,,Junko Yashiro (Newcomer)
,,,
,北原義郎,,Shojiro Kitahara
,夏木章,,Sho Natsuki
,藤山浩二,,Koji Fujiyama
,橋本力,,Chikara Hashimoto
,カール・クレイグ・ジュニア,,"Carl Craig, Jr."
,高塚徹（劇団若草）,,Toru Takatsuka (Wakakusa Theatrical Company)
,,,
,豪健司,,Kenji Atugi
,高田宗彦,,Munehiko Takada
,ピーター・ウイリアムス,,Peter Williams
,中原健,,Ken Nakahara
,山根圭一郎,,Keiichiro Yamane
,篠田三郎,,Saburo Shinoda
,メリー・ムロース,,Mary Murrows
,,,
,喜多大八,,Daihachi Kita
,河島直真,,Naoshi Kajima
,山上友夫,,Tomo Yamagami
,船田精二,,Shunji Funada
,稲妻竜二,,Ryuji Inazuma
,西條美奈子,,Minako Saijo
,劇団ひまわり,,Himawari Theater Company
,劇団こじか,,Kojika Theater Company
ナレーター,若山弦蔵,Narrator,Genzo Wakayama
,,,
監督,湯浅憲明,Director,Noriaki Yuasa
