製作,田中友幸,Producer,Tomoyuki Tanaka
,田中収,,Osamu Tanaka
,,,
,五島勉,,Ben Koto
,『ノストラダムスの大予言』,,“Prophecies of Nostradamus”
構成・脚本,八住利雄,Composition/Screenplay,Toshio Yasumi
潤色,舛田利雄,Adaptation,Toshio Masuda
,坂野義光,,Yoshimitsu Banno
,,,
撮影,西垣六郎,Photography,Rokuro Nishigaki
,鷲尾馨,,Kaoru Washio
美術,村木与四郎,Art,Yoshiro Muraki
録音,増尾鼎,Sound,Kanae Masuo
照明,小島真二,Lighting,Shinji Kojima
音楽,富田勲,Music,Isao Tomita
,,,
協力監督,坂野義光,Co-Director,Yoshimitsu Banno
,,,
監督助手,岡田文亮,Assistant Director,Fumiaki Okada
編集,小川信夫,Editor,Nobuo Ogawa
スチール,石月美徳,Stills,Yoshinori Ishizuki
振付,川西清彦 ,Choreography,Kiyohiko Kawanishi
,（西野バレー団）,,(Nishino Valley Team)
製作担当者,村上久之,Production Manager,Hisayuki Murakami
,,,
特殊技術,,Special Effects,
撮影,富岡素敬,Photography,Motoyoshi Tomioka
,山本武,,Takeshi Yamamoto
美術,井上泰幸,Art,Yasuyuki Inoue
照明,池田泰平,Lighting,Taihei Ikeda
スチール,田中一清,Stills,Kazukiyo Tanaka
光学撮影,宮西武史,Optical Photography,Takeshi Miyanishi
合成,松田博,Synthesis,Hiroshi Matsuda
光学作画,石井義雄,Optical Illustrations,Yoshio Ishii
操演,松本光司,Physical Effects,Koji Matsumoto
特殊効果,渡辺忠昭,Sound Effects,Tadaaki Watanabe
監督助手,川北絋一,Assistant Director,Koichi Kawakita
製作担当者,篠田啓助,Production Manager,Keisuke Shinoda
,,,
現像,東京現像所,Developing,Tokyo Laboratory
整音,東宝録音センター,Dubbing,Toho Sound Center
効果,東宝効果集団,Effects,Toho Effects Group
サントラ盤,東宝レコード,Soundtrack,Toho Records
,,,
特別スタッフ,,Special Staff,
異常気象,根本順吉,Abnormal Weather,Harunoshi Nemoto
食生態学,西丸震哉,Ecology,Shinya Nishimaru
超科学現象,斉藤守弘,Supernatural Phenomenon,Morihiro Saito
植物社会学,宮脇昭,Botany,Akira Miyawaki
作家,半村良,Writer,Ryo Hanamura
作家,石川喬,Writer,Takashi Ishikawa
,,,
,丹波哲郎,,Tetsuro Tanba
,,,
,由美かおる,,Kaoru Yumi
,黒沢年男,,Toshio Kurosawa
,,,
,志村喬,,Takashi Shimura
,平田昭彦,,Akihiko Hirata
,小泉博,,Hiroshi Koizumi
,谷村昌彦,,Masahiko Tanimura
,鈴木瑞穂,,Mizuho Suzuki
,内藤武敏,,Taketoshi Naito
,,,
,佐々木勝彦,,Katsuhiko Sasaki
,竜崎勝,,Katsu Ryuzaki
,浜村純,,Shin Hamamura
,下川辰平,,Tappei Shimokawa
,加藤和夫,,Kazuo Kato
,渥美国泰,,Kuniyasu Atsumi
,北沢彪,,Hyo Kitazawa
,青木義朗,,Yoshio Aoki
,,,
,稲野和子,,Kazuko Inano
,加藤小夜子,,Sayoko Kato
,音羽久米子,,Kumeko Otowa
,矢吹寿子 ,,Toshiko Yabuki
,中村たつ,,Tatsu Nakamura
,谷口香,,Kaori Taniguchi
,,,
,武藤章生,,Shosei Muto
,久野四郎,,Shiro Kuno
,平田未喜三,,Mikizo Hirata
,弘松三郎,,Saburo Hiromatsu
,雪丘恵介,,Keisuke Yukioka
,久遠利三,,Tozo Kisen
,亀谷雅彦,,Masahiko Kametani
,原田君事,,Kimiji Harada
,小笠原剛,,Tsuyoshi Ogasawara
,大杉雄二,,Yuji Osugi
,鈴木治夫,,Haruo Suzuki
,青木敏夫,,Toshio Aoki
,苅谷俊介,,Shunsuke Kariya
,小坂生男,,Ikio Kosaka
,富士乃幸夫,,Sachio Fujio
,加藤茂雄,,Shigeo Kato
,鳥居功靖,,Isao Torii
,中山剣吾,,Kenpachiro Satsuma
,宇仁貫三,,Kanzo Uni
,,,
,東静子,,Shizuko Azuma
,林光子,,Mitsuko Hayashi
,記平佳枝,,Yoshie Kihira
,麻里とも恵,,Yasuko Ogawa
,吉田真野子,,Manoko Yoshida
,劇団ひまわり,,Himawari Theater Company
,劇団日本児童,,Japan Children’s Theater Company
,,,
,納谷悟朗,,Goro Naya
,市川治,,Osamu Ichikawa
,佐間功,,Isao Sakuma
,村越伊知郎,,Ichiro Murakoshi
,梶哲也,,Tetsuya Kaji
,,,
,ウイリー・ドーシー,,Willy Dorsey
,ロルフ・ジェッター,,Rolf Jesser
,フランツ・グルーバー,,Franz Gruber
,ジョージ・フリン,,George Flynn
,トニー・セテラ,,Tony Setera
,ライナー・ゲッシュマン,,Rainer Geschman
,カール・マクムラン,,Carl McMullen
,オスマン・ユセフ,,Osman Yusef
,,,
スタント,三石千尋,Stunts,Chihiro Mitsuishi
,マイクスタントマンチーム,,Maiku Stuntman Team
ナレーター,中江真二,Narrator,Shinji Nakae
予言の声,岸田今日子,Voice of Prophecy,Kyoko Kishida
,,,
,司葉子,,Yoko Tsukasa
,山村聡,,So Yamamura
,,,
特撮監督,中野昭慶,Special Effects Director,Teruyoshi Nakano
,,,
監督,舛田利雄,Director,Toshio Masuda
