製作,永田雅一,Producer,Masaichi Nagata
,,,
企画,奥田久司,Planning,Hisashi Okuda
脚本,吉田哲郎,Screenplay,Tetsuro Yoshida
,,,
撮影,今井ひろし,Photography,Hiroshi Imai
,森田富士郎,,Fujio Morita
録音,大谷巖,Sound,Iwao Otani
照明,伊藤貞一,Lighting,Teiichi Ito
,美間博,,Hiroshi Mima
美術,西岡善信,Art,Yoshinobu Nishioka
,加藤茂,,Shigeru Kato
音楽,伊福部昭,Music,Akira Ifukube
編集,谷口登司夫,Editor,Toshio Taniguchi
特撮合成,田中貞造,Composition,Teizo Tanaka
作画,渡辺善夫,Illustration,Yoshio Watanabe
擬斗,楠本栄一,Action,Eiichi Kusumoto
音響効果,倉嶋暢,Sound Effects,Manabu Kurashima
助監督,大洲斉,Assistant Director,Masashi Osu
製作主任,小沢宏,Production Manager,Hiroshi Ozawa
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,二宮秀樹,,Hideki Ninomiya
,飯塚真英,,Makihide Iizuka
,堀井晋次,,Shinji Horii
,長友宗之,,Masayuki Nagatomo
,安部徹,,Toru Abe
,仲村隆,,Takashi Nakamura
,名和宏,,Hiroshi Nawa
,北林谷栄,,Tanie Kitabayashi
,山下洵一郎,,Junichiro Yamashita
,橋本力,,Chikara Hashimoto
,守田学,,Kakuya Morita
,玉置一恵,,Kazue Tamaki
,早川雄三,,Yuzo Hayakawa
,浜田雄史,,Hideo Hamada
,堀北幸夫,,Yukio Horikita
,石原須磨男,,Sumao Ishihara
,藪内武司,,Takeshi Yabuchi
,南部彰三,,Shozo Nanbu
,芝田総二,,Shinji Shibata
,伴勇太郎,,Yutaro Ban
,森内一夫,,Kazuo Moriuchi
,上原寛二,,Kenji Uehara
,伊藤義高,,Yoshitaka Ito
,小南明,,Akira Kominami
,菊野昌代士,,Masanobu Kikuno
,戸村昌子,,Masako Tomura
,,,
監督,森一生,Director,Kazuo Mori
特撮監督,黒田義之,Special Effects Director,Yoshiyuki Kuroda
