製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
脚本,関沢新一,Screenplay,Shinichi Sekizawa
,,,
撮影,小泉一,Photography,Hajime Koizumi
美術,北猛夫,Art,Takeo Kita
,安倍輝明,,Teruaki Abe
録音,藤好昌生,Sound,Masao Fujiyoshi
照明,高島利雄,Lighting,Toshio Takashima
音楽,伊福部昭,Music,Akira Ifukube
整音,下永尚,Dubbing,Hisashi Shimonaga
,,,
監督助手,梶田興治,Assistant Director,Koji Kajita
編集,兼子玲子,Editor,Reiko Kaneko
音響効果,西本定正,Sound Effects,Sadamasa Nishimoto
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,中村茂,Production Manager,Shigeru Nakamura
,,,
特殊技術,,Special Effects,
撮影,有川貞昌,Photography,Sadamasa Arikawa
,富岡素敬,,Motoyoshi Tomioka
光学撮影,幸隆生,Optical Photography,Takao Miyuki
,真野田幸雄,,Yukio Manoda
美術,渡辺明,Art,Akira Watanabe
照明,岸田九一郎,Lighting,Kuichiro Kishida
合成,向山宏,Synthesis,Hiroshi Mukoyama
製作担当者,成田貫,Production Manager,Nuki Narita
,,,
出演者,,Performers,
,,,
,高島忠夫,,Tadao Takashima
,佐原健二,,Kenji Sahara
,藤木悠,,Yu Fujiki
,,,
,有島一郎,,Ichiro Arishima
,田崎潤,,Jun Tazaki
,平田昭彦,,Akihiko Hirata
,浜美枝,,Mie Hama
,若林映子,,Akiko Wakabayashi
,,,
,根岸明美,,Akemi Negishi
,小杉義男,,Yoshio Kosugi
,田島義文,,Yoshibumi Tajima
,沢村いき雄,,Ikio Sawamura
,松本染升,,Somesho Matsumoto
,三島耕,,Ko Mishima
,堺左千夫,,Sachio Sakai
,松村達雄,,Tatsuo Matsumura
,,,
,大村千吉,,Senkichi Omura
,山本廉,,Ren Yamamoto
,加藤春哉,,Haruya Kato
,大友伸,,Shin Otomo
,桐野洋雄,,Nadao Kirino
,堤康久,,Yasuhisa Tsutsumi
,中山豊,,Yutaka Nakayama
,古田俊彦,,Toshihiko Furuta
,草川直也,,Naoya Kusakawa
,津田光男,,Mitsuo Tsuda
,東郷晴子,,Haruko Togo
,田武謙三,,Kenzo Tabu
,,,
,熊谷二良,,Jiro Kumagai
,土屋詩朗,,Shiro Tsuchiya
,小川安三,,Yasuzo Ogawa
,鈴木和夫,,Kazuo Suzuki
,三井紳平,,Kenpei Mitsui
,橘正晃,,Masaaki Tachibana
,坂本晴哉,,Haruya Sakamoto
,峯丘ひろみ,,Hiromi Mineoka
,平野治男,,Haruo Hirano
,丘照美,,Terumi Oka
,千葉一郎,,Ichiro Chiba
,紅美恵子,,Mieko Kurenai
,,,
,ダグラス・フェーン,,Douglas Fein
,ハロルド・コンウェイ,,Harold Conway
,オスマン・ユセフ,,Osman Yusef
,広瀬正一,,Shoichi Hirose
,中島春雄,,Haruo Nakajima
,手塚勝巳,,Katsumi Tezuka
,東宝芸能学校生徒,,Toho Entertainment School Students
振付,青木賢二,Choreography,Kenji Aoki
,,,
特技監督,円谷英二,Special Effects Director,Eiji Tsuburaya 
,,,
監督,本多猪四郎,Director,Ishiro Honda
