製作,田中友幸,Producer,Tomoyuki Tanaka
,菊島隆三,,Ryuzo Kikushima
,,,
脚本,小国英雄,Screenplay,Hideo Oguni
,菊島隆三,,Ryuzo Kikushima
,久板栄二郎,,Eijiro Hisaita
,黒澤明,,Akira Kurosawa
,エド・マクベイン作「キングの身代金」より,,From Ed McBain’s Work “King’s Ransom”
,,,
撮影,中井朝一,Photography,Asakazu Nakai
,斉藤孝雄,,Takao Saito
美術,村木与四郎,Art,Yoshiro Muraki
録音,矢野口文雄,Sound,Fumio Yanoguchi
照明,森弘充,Lighting,Hiromitsu Mori
音楽,佐藤勝,Music,Masaru Sato
整音,下永尚,Dubbing,Hisashi Shimonaga
,,,
監督助手,森谷司郎,Assistant Director,Shiro Moritani
現像,キヌタ・ラボラトリー,Developing,Kinuta Laboratory
製作担当者,根津博,Production Manager,Hiroshi Nezu
,,,
出演者,,Starring,
,,,
,三船敏郎,,Toshiro Mifune
,,,
,仲代達矢,,Tatsuya Nakadai
,,,
,香川京子,,Kyoko Kagawa
,三橋達也,,Tatsuya Mihashi
,,,
,木村功,,Isao Kimura
,石山健二郎,,Kenjiro Ishiyama
,加藤武,,Takeshi Kato
,志村喬,,Takashi Shimura
,田崎潤,,Jun Tazaki
,中村伸郎,,Nobuo Nakamura
,伊藤雄之助,,Yunosuke Ito
,,,
,山崎努,,Tsutomu Yamazaki
,千秋実,,Minoru Chiaki
,東野英治郎,,Eijiro Tono
,清水将夫,,Masao Shimizu
,佐田豊,,Yutaka Sada
,島津雅彦,,Masahiko Shimatsu
,江木俊夫,,Toshio Egi
,三井弘次,,Koji Mitsui
,山茶花究,,Kyu Sazanka
,,,
,藤田進,,Susumu Fujita
,藤原釜足,,Kamatari Fujiwara
,土屋嘉男,,Yoshio Tsuchiya
,北村和夫,,Kazuo Suzuki
,清水元,,Gen Shimizu
,名古屋章,,Akira Nagoya
,浜村純,,Jun Hamamura
,織田政雄,,Masao Ota
,西村晃,,Ko Nishimura
,,,
,田島義文,,Yoshibumi Tajima
,清村耕次,,Koji Kiyomura
,宇南山宏,,Hiroshi Utsunoyama
,牧野義介,,Yoshike Makino
,近藤準,,Ken Konda
,鈴木智,,Tomo Suzuki
,大村千吉,,Senkichi Omura
,加藤和夫,,Kazuo Kato
,沢村いき雄,,Ikio Sawamura
,,,
,菅井きん,,Kin Sugai
,富田恵子,,Keiko Tomita
,小野田功,,Isao Onoda
,田口精一,,Seiichi Taguchi
,松下猛夫,,Takeo Matsushita
,山本清,,Kiyoshi Yamamoto
,児玉謙二,,Kenji Kodama
,伊藤実,,Minoru Ito
,鈴木治夫,,Haruo Suzuki
,,,
監督,黒澤明,Director,Akira Kurosawa
