製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
原作,黒沼健,Original Story,Ken Kuronuma
脚本,関沢新一,Screenplay,Shinichi Sekizawa
,,,
撮影,小泉一,Photography,Hajime Koizumi
美術,清水喜代志,Art,Kiyoshi Shimizu
録音,小沼渡,Sound,Wataru Konuma
,宮崎正信,,Masanobu Miyazaki
照明,金子光男,Lighting,Mitsuo Kaneko
音楽,伊福部昭,Music,Akira Ifukube
,,,
監督助手,梶田興治,Assistant Director,Koji Kajita
音響効果,三縄一郎,Sound Effects,Ichiro Miniwa
編集,平一二,Editor,Kazuji Taira
製作担当者,川上勝太郎,Production Manager,Katsutaro Kawakami
,,,
特殊技術,,Special Effects,
撮影,荒木秀三郎,Photography,Shozaburo Araki
,有川貞昌,,Sadamasa Arikawa
美術,渡辺明,Art,Akira Watanabe
照明,岸田九一郎,Lighting,Kuichiro Kishida
合成,向山宏,Synthesis,Hiroshi Mukoyama
,,,
出演者,,Performers,
,,,
,野村浩三,,Kozo Nomura
,園田あゆみ,,Ayumi Sonoda
,,,
,千田是也,,Koreya Senda
,,,
,平田昭彦,,Akihiko Hirata
,村上冬樹,,Fuyuki Murakami
,土屋嘉男,,Yoshio Tsuchiya
,山田巳之助,,Minosuke Yamada
,伊藤久哉,,Hisaya Ito
,,,
,田島義文,,Yoshibumi Tajima
,桐野洋雄,,Nadao Kirino
,瀬良明,,Akira Sera
,草間璋夫,,Akio Kusama
,本間文子,,Noriko Honma
,山田彰,,Akira Yamada
,松尾文人,,Fuminto Matsuo
,生方壮児,,Soji Ubukata
,伊原徳 ,,Toku Ihara
,川又吉一,,Yukio Kawamata
,重信安宏,,Yasunori Shigenobu
,伊東隆,,Takashi Ito
,津田光男,,Mitsuo Tsuda
,熊谷二良,,Jiro Kumagai
,広瀬正一,,Shoichi Hirose
,山田圭介,,Keisuke Yamada
,渋谷英男,,Hideyo Shibuya
,鈴木孝次,,Toshitsugu Suzuki
,篠原正記,,Masaki Shinohara
,河美智子,,Michiko Kawa
,中野俊子,,Toshiko Nakano
,安芸津広,,Hiroshi Akitsu
,松本光男,,Mitsuo Matsumoto
,大西康雄,,Yasumasa Onishi
,緒方燐作,,Rinsaku Ogata
,向井淳一郎,,Junichiro Mukai
,一万慈鶴恵,,Tazue Ichimanji
,平三富子,,Tomiko Hiraso
,中西英介,,Eisuke Nakanishi
,成田孝,,Takashi Narita
,勝本圭一郎,,Keiichiro Katsumoto
,坂本晴哉,,Haruya Sakamoto
,細川隆一,,Ryuichi Hosokawa
,速水洸,,Ko Hayami
,大川時生,,Tokio Okawa
,寺沢ひろ子,,Hiroko Terasawa
,高原とり子,,Toriko Takahara
,,,
,手塚勝巳,,Katsumi Tezuka
,中島春雄,,Haruo Nakajima
,,,
特技監督,円谷英二,Special Effects Director,Eiji Tsuburaya
,,,
監督,本多猪四郎,Director,Ishiro Honda
