製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
原作,南條範夫「士魂魔道」より,Original Story,"From Norio Nanjo’s ""The Warrior's Spirit"""
脚本,木村武,Screenplay,Takeshi Kimura
,稲垣浩,,Hiroshi Inagaki
,,,
撮影,山田一夫,Photography,Kazuo Yamada
美術,植田寛,Art,Hiroshi Ueda
録音,西川善男,Sound,Yoshio Nishikawa
照明,小西康夫,Lighting,Yasuo Konishi
,,,
特殊技術,,Special Technology,
特撮監督,円谷英二,Special Effects Director,Eiji Tsuburaya
撮影,有川貞昌,Photography,Sadamasa Arikawa
光学撮影,幸隆生,Optical Photography,Takao Saiwai
,徳政義行,,Yoshiyuki Tokumasa
美術,渡辺明,Art,Akira Watanabe
照明,岸田九一郎,Lighting,Kuichiro Kishida
監督助手,中野昭慶,Assistant Director,Teruyoshi Nakano
製作担当者,小池忠司,Production Manager,Tadashi Koike
,,,
音楽,石井歓,Music,Kan Ishii
監督助手,竹前重吉,Assistant Director,Jukichi Takemae
,高瀬昌弘,,Masahiro Takase
編集,岩下広一,Editor,Koichi Iwashita
製作担当者,沖原俊哉,Production Manager,Toshiya Okihara
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,市川染五郎,,Somegoro Ichikawa
,夏木陽介,,Yosuke Natsuki
,佐藤允,,Makoto Sato
,,,
,星由里子,,Yuriko Hoshi
,水野久美,,Kumi Mizuno
,草笛光子,,Mitsuko Kusabue
,久我美子,,Yoshiko Kuga
,,,
,久保明,,Akira Kubo
,平田昭彦,,Akihiko Hirata
,堺左千夫,,Sachio Sakai
,小杉義男,,Yoshio Kosugi
,香川良介,,Ryosuke Kagawa
,稲葉義男,,Yoshio Inaba
,戸上城太郎,,Jotaro Togami
,,,
,天王寺虎之助,,Toranosuke Tennoji
,山本廉,,Ren Yamamoto
,向井淳一郎,,Junichiro Mukai
,内田朝雄,,Asao Uchida
,若月輝夫,,Teruo Wakatsuki
,福山博寿,,Hirotoshi Fukuyama
,早川恭二,,Kyoji Hayakawa
,谷晃,,Akira Tani
,,,
,松本幸之助,,Konosuke Matsumoto
,武周暢,,Chikanobu Take
,楠義孝,,Yoshitaka Kusunoki
,宮津亮,,Ryo Miyazu
,水木達夫,,Tatsuo Mizuki
,岡野昇司,,Shoji Okano
,双葉京子,,Kyoko Futaba
,吉川雅恵,,Masae Yoshikawa
,,,
,富士乃章介,,Shosuke Fujino
,吉井裕海,,Hiromi Yoshii
,早崎文司,,Bunji Hayasaki
,石井光三,,Mitsuzo Ishii
,山口博義,,Hiroshi Yamaguchi
,宇仁貫三,,Kanzo Uni
,田中浩,,Hiroshi Tanaka
殺陣,久世竜,Action Director,Ryu Kuze
,,,
,三船敏郎,,Toshiro Mifune
,,,
監督,稲垣浩,Director,Hiroshi Inagaki
