製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
原作,関沢新一,Original Story,Shinichi Sekizawa
,福島正実,,Masami Fukushima
,,,
脚本,山浦弘靖,Screenplay,Hiroyasu Yamamura
,福田純,,Jun Fukuda
,,,
撮影,逢沢譲,Photography,Yuzuru Aizawa
美術,薩谷和夫,Art,Kazuo Satsuya
録音,矢野口文雄,Sound,Fumio Yanoguchi
照明,森本正邦,Lighting,Masakuni Morimoto
,,,
音楽,佐藤勝,Music,Masaru Sato
主題歌,東宝レコード,Theme Song,Toho Records
「ミヤラビの祈り」,,"""Miyarabi's Prayer""",
作詞,福田純,Lyrics,Jun Fukuda
作曲,佐藤勝,Composition,Masaru Sato
唄,ベルベラ・リーン,Performer,Barbara Lin
,,,
監督助手,西川常三郎,Assistant Director,Tsunesaburo Nishikawa
編集,池田美千子,Editor,Michiko Ikeda
スチール,田中一清,Stills,Kazukiyo Tanaka
整音,東宝録音センター,Dubbing,Toho Sound Center
効果,東宝効果集団,Effects,Toho Effects Group
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,篠田啓助,Production Manager,Keisuke Shinoda
,,,
特殊技術,,Special Effects,
撮影,富岡素敬,Photography,Motoyoshi Tomioka
,山本武,,Takeshi Yamamoto
美術,青木利郎,Art,Toshiro Aoki
,小村完,,Kan Komura
合成,三瓶一信,Synthesis,Kazunobu Sanbe
光学撮影,宮西武史,Optical Photography,Takeshi Miyanishi
光学作画,川名正,Optical Illustrations,Tadashi Kawana
操演,小川昭二,Physical Effects,Shoji Ogawa
,,,
協力,日本高速フェリー,Cooperation,Japan Fast Ferry
,全日空,,All Nippon Airways
,沖縄玉泉洞,,Okinawa Gyokusendo
,照国郵船,,Yusen Terukoni
,,,
出演者,,Performers,
,,,
,大門正明,,Masaaki Daimon
,青山一也,,Kazuya Aoyama
,,,
,田島令子,,Reiko Tajima
,ベルベラ・リーン,,Barbara Lin
,松下ひろみ,,Hiromi Matsushita
,,,
,平田昭彦,,Akihiko Hirata
,小泉博,,Hiroshi Koizumi
,睦五郎,,Goro Mutsumi
,岸田森,,Shin Kishida
,,,
,佐原健二,,Kenji Sahara
,草野大悟,,Daigo Kusano
,鳥居功靖,,Isao Torii
,小川安三,,Yasuzo Ogawa
,今福正雄,,Masao Imafuku
,,,
,渡辺高光,,Takamitsu Watanabe
,遠矢孝信,,Takanobu Toya
,鹿島信哉,,Shinya Kashima
,柳沢優一,,Yuichi Yanagisawa
,北川陽一郎,,Yoichiro Kitagawa
,,,
キングシーサー,久須美護,King Caesar,Kinichi Kusumi
ゴジラ,図師勲,Godzilla,Isao Zushi
メカゴジラ,森一成,Mechagodzilla,Kazunari Mori
,,,
特技監督,中野昭慶,Special Effects Director,Teruyoshi Nakano
,,,
監督,福田純,Director,Jun Fukuda
