製作,田中友幸,Producer,Tomoyuki Tanaka
,田中文雄,,Fumio Tanaka
,,,
脚本,小川英,Screenplay,Ei Ogawa
,,,
撮影,完倉泰一,Photography,Taiichi Kankura
美術,北猛夫,Art,Takeo Kita
録音,増尾鼎,Sound,Kanae Masuo
照明,高島利雄,Lighting,Toshio Takashima
音楽,伊福部昭,Music,Akira Ifukube
,,,
監督助手,谷清次,Assistant Director,Seiji Tani
編集,永見正久,Editor,Masahisa Nagami
音響効果,西本定正,Sound Effects,Sadamasa Nishimoto
整音,東宝ダビング,Dubbing,Toho Dubbing
協力,東海汽船株式会社,Cooperation,Tokai Steamship Corporation
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,坂井靖史,Production Manager,Yasushi Sakai
,,,
特殊技術,有川貞昌,Special Effects,Sadamasa Arikawa
撮影,真野田陽一,Photography,Yoichi Manoda
光学撮影,徳政義行,Optical Photography,Yoshiyuki Tokumasa
美術,井上泰行,Art,Yasuyuki Inoue
照明,原文良,Lighting,Funyoshi Hara
操演,中代文雄,Physical Effects,Fumio Nakashiro
合成,向山宏,Synthesis,Hiroshi Mukoyama
監督助手,中野昭慶,Assistant Director,Teruyoshi Nakano
,,,
出演者,,Performers,
,,,
,久保明,,Akira Kubo
,高橋厚子,,Atsuko Takahashi
,小林夕岐子,,Yukiko Kobayashi
,,,
,佐原健二,,Kenji Sahara
,土屋嘉男,,Yoshio Tsuchiya
,中村哲,,Tetsu Nakamura
,藤木悠,,Yu Fujiki
,,,
,佐藤宜丈,,Yoshihito Sato
,杉原優子,,Yuko Sugihara
,堺左千夫,,Sachio Sakai
,当銀長太郎,,Chotaro Togin
,大前亘,,Wataru Omae
,,,
,権藤幸彦,,Yukihiko Gondo
,加藤茂雄,,Shigeo Kato
,緒方燐作,,Rinsaku Ogata
,中島春雄,,Haruo Nakajima
,中村晴吉,,Haruyoshi Nakamura
,,,
監督,本多猪四郎,Director,Ishiro Honda
