製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
脚本,木村武,Screenplay,Takeshi Kimura
,,,
撮影,小泉一,Photography,Hajime Koizumi
美術,清水喜代志,Art,Kiyoshi Shimizu
録音,藤好昌生,Sound,Masao Fujiyoshi
,宮崎正信,,Masanobu Miyazaki
照明,高島利雄,Lighting,Toshio Takashima
,,,
特殊技術,,Special Effects,
光学撮影,荒木秀三郎,Optical Photography,Shozaburo Araki
撮影,有川貞昌,Photography,Sadamasa Arikawa
美術,渡辺明,Art,Akira Watanabe
照明,岸田九一郎,Lighting,Kuichiro Kishida
,,,
音楽,宮内國郎,Music,Kunio Miyauchi
作詞,片山貞一,Lyrics,Teiichi Katayama
作曲,杵屋勝四郎,Composition,Katsuhiro Kineya
作調,堅田喜四郎,Staging,Kishiro Katada
振付,若柳美東理樹,Choreography,Midorigi Wakayagi
,,,
監督助手,梶田興治,Assistant Director,Koji Kajita
編集,平一二,Editor,Kazuji Taira
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,坂本泰明,Production Manager,Yasuaki Sakamoto
,,,
出演者,,Performers,
,,,
,三橋達也,,Tatsuya Mihashi
,,,
,八千草薫,,Kaoru Yachigusa
,土屋嘉男,,Yoshio Tsuchiya
,佐多契子,,Keiko Sata
,,,
,伊藤久哉,,Hisaya Ito
,田島義文,,Yoshibumi Tajima
,小杉義男,,Yoshio Kosugi
,村上冬樹,,Fuyuki Murakami
,左卜全,,Bokuzen Hidari
,,,
,佐々木孝丸,,Takamaru Sasaki
,山田巳之助,,Minosuke Yamada
,松村達雄,,Tatsuo Matsumura
,宮田羊容,,Yoyo Miyata
,三島耕,,Ko Mishima
,野村浩三,,Kozo Nomura
,,,
,山本廉,,Ren Yamamoto
,松本染升,,Somesho Matsumoto
,堤康久,,Yasuhisa Tsutsumi
,山田彰,,Akira Yamada
,広瀬正一,,Shoichi Hirose
,中村哲,,Tetsu Nakamura
,塩沢とき,,Toki Shiozawa
,,,
,熊谷二良,,Jiro Kumagai
,坪野鎌之,,Kamayuki Tsubono
,緒方燐作,,Rinsaku Ogata
,榊田敬二,,Keiji Sakakida
,岡豊,,Yutaka Oka
,山田圭介,,Keisuke Yamada
,権藤幸彦,,Yukihiko Gondo
,草間璋夫,,Akio Kusama
,松本光男,,Mitsuo Matsumoto
,佐藤功一,,Koichi Sato
,,,
,安芸津広,,Hiroshi Akitsu
,澁谷英男,,Hideo Shibuya
,橘正晃,,Masaaki Tachibana
,黒田忠彦,,Tadahiko Kuroda
,藤野珠美,,Tamami Fujino
,伊藤実,,Minoru Ito
,大前亘,,Wataru Omae
,速水洸,,Ko Hayami
,鈴川二郎,,Jiro Suzukawa
,広田新二郎,,Shinjiro Hirota
,,,
長唄,富士田吉四郎,Vocalists,Yoshishiro Fujita
,柏庄太郎,,Shotaro Kashiwa
,杵屋胡十郎,,Kojuro Kineya
,芳村久太郎,,Kosutaro Yoshimura
三味線,杵屋勝四郎,Shamisen,Katsuhiro Kineya
,杵屋和喜輔,,Wakisuke Kineya
,杵屋和四之,,Washino Kineya
,杵屋和四三郎,,Washisaburo Kineya
,杵屋和之助,,Wannosuke Kineya
囃子,,Accompaniment,
笛,鳳声信秀,Flute,Nobuhide Fodo
小鼓,堅田喜四郎,Tsunemi Drum,Kishiro Katada
太鼓,堅田喜三郎,Taiko Drum,Kazaburo Katada
太鼓,堅田喜三久,Taiko Drum,Katato Katada
大太鼓,福原宏,Bass Drum,Hiroshi Fukuhara
,,,
特技監督,円谷英二,Special Effects Director,Eiji Tsuburaya 
,,,
監督,本多猪四郎,Director,Ishiro Honda
