製作,永田秀雅,Producer,Hidemasa Nagata
,,,
企画,仲野和正,Planning,Kazumasa Nakano
脚本,高橋二三,Screenplay,Nisan Takahashi
,,,
撮影,喜多崎晃,Photography,Akira Kitazaki
特殊撮影,藤井和文,Special Photography,Kazufumi Fujii
録音,飛田喜美雄,Sound,Kimio Tobita
照明,上原正一,Lighting,Shoichi Uehara
美術,井上章,Art,Akira Inoue
,,,
音楽,菊池俊輔,Music,Shunsuke Kikuchi
主題歌,「ガメラマーチ」,Theme Song,"""Gamera March"""
歌,大映児童合唱団,Performer,Daiei Children's Choir
作詞,永田秀雄,Lyrics,Hidemasa Nagata
作編曲,広瀬健次郎,Arrangement,Kenjiro Hirose
,大映レコード,,Daiei Records
,,,
美術,矢野友久,Art,Tomohisa Yano
特撮合成,金子友三,Special Synthesis,Yuzo Kaneko
照明,石森七郎,Lighting,Shichiro Ishimori
操演,金子芳夫,Physical Effects,Yoshio Kaneko
音響効果,小島明,Sound Effects,Akira Kojima
,,,
編集,宮崎善行,Editor,Yoshiyuki Miyazaki
助監督,小林正夫,Assistant Director,Masao Kobayashi
製作主任,川村清,Production Manager,Kiyoshi Kawamura
現像,東京現像所,Developing,Tokyo Laboratory
,,,
出演者,,Performers,
,,,
明夫君,加島信博,Akio-kun,Nobuhiro Kashima
トム君,クリストファ・マーフィー,Tom-kun,Christopher Murphy
友子ちゃん,秋山みゆき,Tomoko-chan,Miyuki Akiyama
,,,
博士,船越英二,Doctor,Eiji Funakoshi
巡査,大村崑,Policeman,Kon Omura
,,,
母,浜田ゆう子,Mother,Yuko Hamada
ママ,イーデス・ハンソン,Mama,Edith Hanson
宇宙人,笠原玲子,Aliens,Reiko Kasahara
,甲斐弘子,,Hiroko Kai
,,,
新聞記者,夏木章,Journalists,Sho Natsuki
,遠藤哲平,,Tetsuhei Endo
,中田勉,,Tsutomu Nakata
天文台助手,南堂正樹,Astronomer Assistant,Masaki Minamido
巡査,喜多大八,Policeman,Daihachi Kita
,,,
監督,湯浅憲明,Director,Noriaki Yuasa
