製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
原作,関沢新一,Original Story,Shinichi Sekizawa
脚本,福田純,Screenplay,Jun Fukuda
,,,
撮影,逢沢譲,Photography,Yuzuro Aizawa
美術,本多好文,Art,Yoshifumi Honda
録音,林頴四郎,Sound,Shigeru Hayashi
照明,森本正邦,Lighting,Masakuni Morimoto
効果,東宝効果集団,Effects,Toho Effects Group
整音,東宝録音センター,Dubbing,Toho Sound Center
,,,
音楽,真鍋理一郎,Music,Riichiro Manabe
主題歌,東宝レコード,Theme Song,Toho Records
「ゴジラとジェットジャガーでパンチ・パンチ・パンチ!」,,"""Godzilla and Jet-Jaguar Punch Punch Punch!""",
作詞,関沢新一,Lyrics,Shinichi Sekizawa
作曲,眞鍋理一郎,Composition,Riichiro Manabe
歌,子門真人,Performer,Masato Shimon
,,,
演出助手,西川常三郎,Production Assistant,Tsunesaburo Nishikawa
編集,池田美千子,Editor,Michiko Ikeda
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,篠田啓助,Production Manager,Keisuke Shinoda
協力,本田技研工業株式会社,Cooperation,Honda Motor Company
,,,
特殊技術,,Special Effects,
特殊技術,中野昭慶,Special Effects,Teruyoshi Nakano
撮影,富岡素敬,Photography,Motoyoshi Tomioka
美術,青木利郎,Art,Toshiro Aoki
光学撮影,宮西武史,Optical Photography,Takeshi Miyanishi
操演,小川昭二,Physical Effects,Shoji Ogawa
合成,三瓶一信,Synthesis,Kazunobu Sanbe
,,,
出演者,,Performers,
,,,
,佐々木勝彦,,Katsuhiko Sasaki
,林ゆたか,,Yutaka Hayashi
,川瀬裕之,,Hiroyuki Kawase
,,,
,森幹太,,Kanta Mori
,富田浩太郎,,Kotaro Tomita
,大月ウルフ,,Wolf Otsuki
,三上左京,,Sakyo Mikami
,池田芙美太,,Fumiya Ikeda
,中島元,,Gen Nakajima
,,,
,ロバート・ダンハム,,Robert Dunham
,ロルフ・ジェサップ,,Rolf Jessup
,チーム・ザンバ,,Team Zanba
,高木真二,,Shinji Takagi
,伊達秀人,,Hideto Date
,駒田次利,,Tsugutoshi Komada
,森正親,,Masachika Mori
,中山剣吾,,Kengo Nakayama
,渡辺高光,,Takamitsu Watanabe
,,,
監督,福田純,Director,Jun Fukuda
