企画,辻久一,Planning,Hisakazu Tsuji
原作,子母沢寛,Original Story,Kan Shimozawa
脚本,猿若清方,Screenplay,Kiyokata Saruwaka
,杉浦久,,Hisashi Sugiura
,吉田哲郎,,Tetsuro Yoshida
,,,
撮影,森田富士郎,Photography,Fujio Morita
録音,海原幸夫,Sound,Yukio Kaibara
照明,黒川俊二,Lighting,Shunji Kurokawa
美術,内藤昭,Art,Akira Naito
音楽,池野成,Music,Sei Ikeno
,,,
編集,谷口登司夫,Editor,Toshio Taniguchi
擬斗,宮内昌平,Action,Shohei Miyauchi
音響効果,倉嶋暢,Sound Effects,Manabu Kurashima
助監督,辻光明,Assistant Director,Mitsuaki Tsuji
製作主任,村井昭彦,Production Manager,Akihiko Murai
主題歌,大映レコード,Theme Song,Daiei Records
歌,勝新太郎,Performer,Shintaro Katsu
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Shintaro Katsu
,,,
,三田佳子,,Yoshiko Mita
,佐藤允（東宝）,,Makoto Sato (Toho)
,,,
,西村晃,,Ko Nishimura
,藤岡琢也,,Takuya Fujioka
,ミヤコ蝶々,,Chocho Miyako
,,,
,清水彰,,Akira Shimizu
,五味龍太郎,,Ryutaro Gomi
,伊達岳志,,Takeshi Date
,戸浦六宏,,Rokko Tora
,玉川良一,,Ryoichi Tamagawa
,曽我町子,,Machiko Soga
,大川修,,Osamu Okawa
,,,
,杉山昌三九,,Shosaku Sugiyama
,木村元,,Gen Kimura
,水上保広,,Yasuhiro Minakami
,諸口旭,,Akira Moroguchi
,近江輝子,,Teruko Omi
,玉置一恵,,Kazue Tamaki
,堀北幸夫,,Yukio Horikita
,浜田雄史,,Hideo Hamada
,勝村淳,,Jun Katsumura
,薮内武司,,Takeshi Yabuchi
,黒木現,,Gen Kuroki
,,,
,西岡弘善,,Hiroyoshi Nishioka
,松田剛武,,Takeshi Matsuda
,藤春保,,Kei Fujiharu
,暁新二郎,,Shinjiro Akira
,和田哲児,,Tetsuji Wada
,千石泰三,,Yuzo Sengoku
,丘夏子,,Natsuko Oka
,遠山順子,,Junko Toyama
,織田利枝子,,Keiko Oda
,高寺正,,Masa Takadera
,長友宗之,,Masayuki Nagatomo
,辻勝彦,,Katsuhiko Tsuji
,,,
監督,三隅研次,Director,Kenji Misumi
