製作,小角恒雄,Producer,Tsuneo Koga
原案,天田欽元,Story,Kunimoto Amita
脚本,高久進,Screenplay,Susumu Takaku
,,,
撮影,平瀬静雄,Photography,Shizuo Hirase
,篠村荘三郎,,Sozaburo Shinomura
美術,芳野尹孝,Art,Yunota Yoshino
音楽,菊池俊輔,Music,Shunsuke Kikuchi
,,,
照明,青木辰夫,Lighting,Tatsuo Aomoto
編集,寺田昭光,Editor,Akimitsu Terada
録音,中村寛,Sound,Hiroshi Nakamura
調音,松本隆司,Articulation,Ryuji Matsumoto
,,,
監督助手,白木慶二,Assistant Director,Keiji Shiraki
光学技術,石川智弘,Optical Effects,Tomohiro Ishikawa
装置,中村良三,Apparatus,Ryozo Nakamura
進行,福山正幸,Progress,Masayuki Fukuyama
製作主任,内藤誠,Production Manager,Makoto Naito
,,,
現像,東洋現像所,Developing,Toyo Laboratory
協力,日本特撮映画株式会社,Cooperation,Japan Sci-Fi Film Corporation
,川上景司,,Kawakami Prefecture
,菅沼峻,,Shigeru Suganuma
,,,
出演,,Appearing,
,,,
,園井啓介,,Keisuke Sonoi
,川津祐介,,Yusuke Kawazu
,,,
,新藤恵美,,Emi Shindo
,瞳麗子,,Reiko Hitomi
,園江梨子,,Yoko Hirayama
,,,
,キャシー・ホーラン,,Kathy Horan
,チコ・ローランド,,Chico Roland
,ロルフ・ジェッサー,,Ralph Jesser
,,,
,市村俊幸,,Toshiyuki Ichimura
,上田忠好,,Chuko Ueda
,青山宏,,Hiroshi Aoyama
,市山達巳,,Tatsumi Ichiyama
,小森英明,,Hideaki Komori
,青沼三朗,,Saburo Aonuma
,,,
,マイク・ダニーン,,Mike Daneen
,フランツ・グルーベル,,Franz Gruber
,ハロルド・コンウェイ,,Harold Conway
,ウォルフラム・ベケシャス,,Wolfram Beckeshas
,ウィリアム・デウギュウ,,William Degeuw
,ライナ・ゲスマン,,Rainer Gessman
,ハーディ・バウマン,,Hardy Bowman
,,,
監督,二本松嘉瑞,Director,Kazui Nihonmatsu
