製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
原作,丘美丈二郎,Original Story,Jojiro Okami
潤色,香山滋,Adaptation,Shigeru Kayama
脚本,木村武,Screenplay,Takeshi Kimura
,,,
撮影,小泉一,Photography,Hajime Koizumi
美術,安倍輝明,Art,Teruaki Abe
録音,宮崎正信,Sound Recording,Masanobu Miyazaki
照明,岸田九一郎,Lighting,Kuichiro Kishida
音楽,伊福部昭,Music,Akira Ifukube
,,,
監督助手,梶田興治,Assistant Director,Koji Kajita
音響効果,三縄一郎,Sound Effects,Ichiro Minawa
編集,岩下広一,Editor,Koichi Iwashita
現像,東洋現像所,Developing,Toyo Laboratory
製作担当者,坂本泰明,Production Manager,Yasuaki Sakamoto
,,,
特殊技術,,Special Effects,
撮影,荒木秀三郎,Photography,Shozaburo Araki
,有川貞昌,,Sadamasa Arikawa
美術,渡辺明,Art,Akira Watanabe
照明,城田正雄,Lighting,Masao Shirota
合成,向山宏,Synthesis,Hiroshi Mukoyama
,,,
出演者,,Performers,
,,,
,佐原健二,,Kenji Sahara
,白川由美,,Yumi Shirakawa
,河内桃子,,Momoko Kochi
,平田昭彦,,Akihiko Hirata
,,,
,志村喬,,Takashi Shimura
,藤田進,,Susumu Fujita
,伊藤久哉,,Hisaya Ito
,小杉義男,,Yoshio Kosugi
,村上冬樹,,Fuyuki Murakami
,土屋嘉男,,Yoshio Tsuchiya
,,,
,山田巳之助,,MInosuke Yamada
,中村哲,,Tetsu Nakamura
,大川平八郎,,Heihachiro Okawa
,笈川武夫,,Takeo Oikawa
,加藤春哉,,Haruya Kato
,大村千吉,,Senkichi Omura
,佐田豊,,Yutaka Sada
,三原秀夫,,Hideo Mihara
,,,
,三條利喜江,,Rikie Sanjo
,生方壮児,,Soji Ubukata
,津田光男,,Mitsuo Tsuda
,今泉廉,,Ren Imaizumi
,大友伸,,Shin Otomo
,熊谷二良,,Jiro Kumagai
,草間璋夫,,Akio Kusama
,広瀬正一,,Shoichi Hirose
,,,
,中丸忠雄,,Tadao Nakamaru
,坪野鎌之,,Kamayuki Tsubono
,緒方燐作,,Rinasku Ogata
,重信安宏,,Yasuhiro Shigenobu
,ジョージ・ファーネス,,George Furness
,ハロルド・エス・コンウェイ,,Harold S. Conway
,中島春雄,,Haruo Nakajima
,手塚勝巳,,Katsumi Tezuka
,,,
特技監督,圓谷英二,Special Effects Director,Eiji Tsumuraya
,,,
監督,本多猪四郎,Director,Ishiro Honda
