製作,永田秀雅,Producer,Hidemasa Nagata
,,,
企画,仲野和正,Planning,Kazumasa Nakano
脚本,高橋二三,Screenplay,Nisan Takahashi
,,,
撮影,喜多崎晃,Photography,Akira Kitazaki
録音,清水保太郎,Sound,Yutaro Shimizu
照明,泉正蔵,Lighting,Shozo Izumi
美術,山口煕,Art,Hiroshi Yamaguchi
,,,
音楽,菊池俊輔,Music,Shunsuke Kikuchi
主題歌,「ガメラマーチ」,Theme Song,"""Gamera March"""
,「ぼくらのガメラ」,,"""Our Gamera"""
歌,大映児童合唱団,Performer,Daiei Children's Choir
作詞,永田秀雄,Lyrics,Hidemasa Nagata
作編曲,広瀬健次郎,Arrangement,Kenjiro Hirose
,大映レコード,,Daiei Records
,,,
特殊撮影スタッフ,,Special Photography Staff,
撮影,金子友三,Photography,Yuzo Kaneko
特撮合成,藤井和文,Special Synthesis,Kazufumi Fujii
美術,矢野友久,Art,Tomohisa Yano
助監督,阿部志馬,Assistant Director,Shiba Abe
照明,石森七郎,Lighting,Shichiro Ishimori
操演,田中実,Physical Effects,Minoru Tanaka
,,,
編集,宮崎善行,Editor,Yoshiyuki Miyazaki
音響効果,小島明,Sound Effects,Akira Kojima
助監督,小林正夫,Assistant Director,Masao Kobayashi
製作主任,川村清,Production Manager,Kiyoshi Kawamura
現像,東京現像所,Developing,Tokyo Laboratory
,,,
出演者,,Performers,
,,,
弘ちゃん,高桑勉,Hiro-chan,Tsutomu Takakuwa
トミーちゃん,ケリー・バリス,Tommy-chan,Kelly Baris
スーザンちゃん,キャサリン・マーフィ,Susan-chan,Catherine Murphy
,,,
万国博広報部員,炎三四郎,Expo PR,Ryu Hayami
弘のおわえさん,八代順子,Hiroshi’s Sister,Junko Yashiro
弘のお父さん,大村崑,Hiroshi’s Father,Kon Omura
,,,
,平泉征,,Sei Hiraizumi
,北城寿太郎,,Jutaro Hojo
,夏木章,,Sho Natsuki
,仲村隆,,Takashi Nakamura
,三夏伸,,Shin Minatsu
,丸山修,,Osamu Maruyama
,,,
,中田勉,,Tsutomu Nakata
,森矢雄二,,Yuji Moriya
,佐伯勇,,Isamu Saeki
,飛田喜佐夫,,Kisao Tobita
,田中三津子,,Mitsuko Tanaka
,フランツ・グレーベル,,Franz Gruber
,マーリズ・ヘリー,,Miles Helly
,チコ・ローランド,,Chico Roland
,,,
,蛍雪太郎,,Taro Keisetsu
,荒木康夫,,Yasuo Araki
,喜多大八,,Daihachi Kita
,井上大吾,,Daigo Inoue
,隅田一男,,Kazuo Sumida
,志保京助,,Kyosuke Shiho
,松山新一,,Shinichi Matsuyama
,高田宗彦,,Munehiko Takada
,,,
,遠藤哲平,,Testuhei Endo
,槇俊夫,,Toshio Maki
,中原健,,Ken Nakahara
,関幸太郎,,Kotaro Seki
,小杉光史,,Mitsushi Kosugi
,稲妻竜二,,Ryuji Inazuma
,山本一彦,,Kazuhiko Yamamoto
,若倉慶,,Kei Wakakura
,原大作,,Daisaku Hara
,山上友夫,,Tomo Yamagami
,,,
監督,湯浅憲明,Director,Noriaki Yuasa
