製作,田中友幸,Producer,Tomoyuki Tanaka
,,,
脚本,関沢新一,Screenplay,Shinichi Sekizawa
,,,
撮影,山田一夫,Photography,Kazuo Yamada
美術,北猛夫,Art,Takeo Kita
録音,吉沢昭一,Sound,Shoichi Yoshizawa
照明,隠田紀一,Lighting,Norikazu Onda
音楽,佐藤勝,Music,Masaru Sato
整音,下永尚,Dubbing,Hisashi Shimonaga
,,,
監督助手,佐野健,Assistant Director,Takeshi Sano
編集,藤井良平,Editor,Ryohei Fujii
音響効果,金山実,Sound Effects,Minoru Kanayama
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,橋本利明,Production Manager,Toshiaki Hashimoto
,,,
特殊技術,,Special Effects,
監督補,有川貞昌,Co-Director,Sadamasa Arikawa
撮影,富岡素敬,Photography,Motoyoshi Tomioka
,真野田陽一,,Yoichi Manoda
光学撮影,徳政義行,Optical Photography,Yoshiyuki Tokumasa
美術,井上泰幸,Art,Yasuyuki Inoue
照明,岸田九一郎,Lighting,Kuichiro Kishida
操演,中代文雄,Physical Effects,Fumio Nakashiro
合成,向山宏,Synthesis,Hiroshi Mukoyama
監督助手,中野昭慶,Assistant Director,Teruyoshi Nakano
製作担当者,坂本泰明,Production Manager,Yasuaki Sakamoto
,,,
出演者,,Performers,
,,,
,宝田明,,Akira Takarada
,水野久美,,Kumi Mizuno
,,,
,平田昭彦,,Akihiko Hirata
,田崎潤,,Jun Tazaki
,砂塚秀夫,,Hideo Sunazuka
,当銀長太郎,,Chotaro Togin
,,,
,伊吹徹,,Toru Ibuki
,渡辺徹,,Toru Watanabe
,天本英世,,Hideo Amamoto
,沢村いき雄,,Ikio Sawamura
,伊藤久哉,,Hisaya Ito
,,,
,石田茂樹,,Shigeki Ishida
,広瀬正一,,Shoichi Hirose
,鈴木和夫,,Kazuo Suzuki
,佐田豊,,Yutaka Sada
,本間文子,,Noriko Honma
,中北千枝子,,Chieko Nakakita
,,,
,池田生二,,Seiji Ikeda
,岡部正,,Tadashi Okabe
,大前亘,,Wataru Omae
,丸山謙一郎,,Kenichiro Maruyama
,緒方燐作,,Rinsaku Ogata
,勝部義夫,,Yoshio Katsube
,澁谷英男,,Hideo Shibuya
,,,
,中島春雄,,Haruo Nakajima
,関田裕,,Hiroshi Sekita
,ペア・バンビ,,Pair Bambi
,スタジオNo.1ダンサーズ,,Studio No. 1 Dancers
,,,
特技監督,円谷英二,Special Effects Director,Eiji Tsuburaya 
,,,
監督,福田純,Director,Jun Fukuda
