製作,永田雅一,Producer,Masaichi Nagata
,,,
企画,奥田久司,Planning,Hisashi Okuda
脚本,吉田哲郎,Screenplay,Tetsuro Yoshida
,,,
撮影,森田富士郎,Photography,Fujio Morita
,田中省三,,Shozo Tanaka
録音,大角正夫,Sound,Masao Osumi
照明,美間博,Lighting,Hiroshi Mima
,古谷賢次,,Kenji Furuya
美術,内藤昭,Art,Akira Naito
,加藤茂,,Shigeru Kato
音楽,伊福部昭,Music,Akira Ifukube
,,,
編集,菅沼完二,Editor,Kanji Suganuma
特撮合成,田中貞造,Composition,Teizo Tanaka
作画,渡辺善夫,Illustration,Yoshio Watanabe
擬斗,宮内昌平,Action,Shohei Miyauchi
音響効果,倉嶋暢,Sound Effects,Manabu Kurashima
助監督,西沢鋭治,Assistant Director,Eiji Nishizawa
製作主任,今村喬,Production Manager,Takashi Imamura
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,本郷功次郎,,Kojiro Hongo
,藤村志保,,Shiho Fujimura
,,,
,丸井太郎,,Taro Marui
,北城寿太郎,,Jutaro Hojo
,上野山功一,,Koichi Uenoyama
,内田朝雄,,Asao Uchida
,橋本力,,Tsutomu Hashimoto
,神田隆,,Takashi Kanda
,,,
,平泉征,,Sei Hiraizumi
,藤山浩二,,Koji Fujiyama
,水原浩一,,Koichi Mizuhara
,高杉玄,,Gen Takasugi
,神戸瓢介,,Hyosuke Kanbe
,寺島雄作,,Yusaku Terashima
,橘公子,,Kimiko Tachibana
,,,
,浜田雅史,,Masashi Hamada
,黒木英男,,Hideo Kuroki
,松田剛武,,Takeshi Matsuda
,伊東義高,,Yoshitaka Ito
,岩田正,,Tadashi Iwata
,伴勇太郎,,Yutaro Ban
,加賀爪清和,,Seiwa Kagatsume
,三木本賀代,,Kayo Mikimoto
,小柳圭子,,Keiko Koyanagi
,,,
監督,三隅研次,Director,Kenji Misumi
特撮監督,黒田義之,Special Effects Director,Yoshiyuki Kuroda
